"Libellé";"idBank";"Période";"2001-T4";"2002-T1";"2002-T2";"2002-T3";"2002-T4";"2003-T1";"2003-T2";"2003-T3";"2003-T4";"2004-T1";"2004-T2";"2004-T3";"2004-T4";"2005-T1";"2005-T2";"2005-T3";"2005-T4";"2006-T1";"2006-T2";"2006-T3";"2006-T4";"2007-T1";"2007-T2";"2007-T3";"2007-T4";"2008-T1";"2008-T2";"2008-T3";"2008-T4";"2009-T1";"2009-T2";"2009-T3";"2009-T4";"2010-T1";"2010-T2";"2010-T3";"2010-T4";"2011-T1";"2011-T2";"2011-T3";"2011-T4";"2012-T1";"2012-T2";"2012-T3";"2012-T4";"2013-T1";"2013-T2";"2013-T3";"2013-T4";"2014-T1";"2014-T2";"2014-T3";"2014-T4";"2015-T1";"2015-T2";"2015-T3";"2015-T4";"2016-T1";"2016-T2";"2016-T3";"2016-T4";"2017-T1";"2017-T2";"2017-T3";"2017-T4";"2018-T1";"2018-T2";"2018-T3";"2018-T4";"2019-T1";"2019-T2"
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Ain";"001737244";"";"21895";"22200";"21736";"22183";"22373";"22431";"22896";"22841";"22800";"22866";"22663";"22676";"22707";"22844";"22971";"23012";"23285";"23214";"23239";"23259";"23274";"23404";"23451";"23657";"23703";"23591";"23503";"23505";"23460";"23521";"23581";"23599";"23487";"23581";"23727";"23826";"23925";"24094";"24209";"24219";"24377";"24537";"24373";"24583";"24461";"24408";"24319";"24307";"24393";"24405";"24450";"24409";"24436";"24419";"24506";"24711";"24798";"24945";"24948";"24993";"25034";"25260";"25310";"25501";"25670";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Aisne";"001737245";"";"19996";"20124";"20334";"20647";"20652";"20381";"20234";"19950";"20631";"20617";"20672";"20475";"20259";"20314";"20394";"20426";"20399";"20346";"20196";"20259";"20085";"20318";"20203";"20262";"20452";"20540";"20584";"20474";"20329";"20084";"19919";"19777";"19460";"19335";"19287";"19222";"19252";"19183";"19227";"19168";"19169";"19207";"19011";"19048";"18908";"18823";"18676";"18689";"18736";"18732";"18550";"18437";"18480";"18566";"18612";"18607";"18562";"18464";"18715";"18647";"18612";"18598";"18543";"18459";"18538";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Allier";"001737246";"";"14215";"14234";"14322";"14524";"14505";"14696";"14682";"14856";"14896";"14781";"14880";"14791";"14862";"14848";"14791";"14734";"14815";"14911";"15020";"15067";"15018";"15087";"15111";"15186";"15100";"14999";"14913";"14907";"14740";"14781";"14719";"14562";"14515";"14522";"14421";"14342";"14427";"14379";"14327";"14434";"14401";"14323";"14354";"14472";"14152";"14271";"14207";"14111";"14139";"14134";"14170";"14203";"14180";"14160";"14102";"14066";"14153";"14242";"14259";"14314";"14162";"14118";"14057";"13987";"14099";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Alpes-de-Haute-Provence";"001737247";"";"6189";"6202";"6215";"6379";"6407";"6434";"6390";"6625";"6525";"6575";"6647";"6604";"6626";"6634";"6647";"6628";"6591";"6510";"6471";"6448";"6467";"6519";"6461";"6502";"6514";"6510";"6438";"6452";"6482";"6491";"6536";"6494";"6573";"6628";"6587";"6630";"6598";"6620";"6743";"6735";"6692";"6706";"6668";"6665";"6673";"6670";"6632";"6687";"6689";"6693";"6697";"6651";"6657";"6632";"6632";"6596";"6588";"6606";"6641";"6658";"6686";"6666";"6749";"6652";"6739";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Emploi salarié en fin de trimestre - Commerce ; réparation d'automobiles et de motocycles (A17-GZ) - Hautes-Alpes";"001737248";"";"6115";"6140";"6216";"6340";"6355";"6344";"6433";"6420";"6458";"6499";"6530";"6550";"6590";"6649";"6674";"6626";"6566";"6527";"6599";"6654";"6509";"6675";"6708";"6749";"6584";"6711";"6552";"6598";"6650";"6567";"6488";"6486";"6563";"6568";"6706";"6660";"6658";"6725";"6721";"6719";"6709";"6653";"6611";"6643";"6622";"6579";"6529";"6600";"6614";"6513";"6553";"6495";"6606";"6632";"6591";"6540";"6540";"6575";"6542";"6559";"6494";"6447";"6441";"6421";"6635";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
